study_id,exposure,mediator,outcome,n_X,n_M,n_shared,pi_shared,rho_M,rho_M_lo,rho_M_hi,n_rho_M,rho_X,rho_X_lo,rho_X_hi,n_rho_X,rho_resid,rho_resid_lo,rho_resid_hi,n_rho_resid,primary_rho,primary_source,primary_n,widen_pct_rho0,widen_pct_empirical,flip_empirical,ci_corr_lo_emp,ci_corr_hi_emp,naive_sig,corr_sig_emp,notes
S014,T1DM,hypertension,peripheral atherosclerosis(PAS)/coronary atherosclerosis(CAS),18,209,1,0.0556,0.5967,0.5001,0.6786,203,0.8125,0.5305,0.9326,16,0.5909,0.492,0.6748,198,0.5967,rho_M,203,-16.1,-16.1,无翻转,0.00028,0.00069,是,是,β_XY(IVW)=0.0009; ρ_MY字面=样本重叠(元数据); 本估计量=遗传相关/方向一致性; S320/S293 exp==med 退化已排除
S273,"inflammatory factors / gut microbiota / blood cell traits (炎症因子/肠道菌群/血细胞, 3暴露)",immune traits (免疫性状),"IgAN (IgA nephropathy, IgA肾病)",440,13,2,0.1538,0.0794,-0.4932,0.604,13,0.0696,-0.0244,0.1623,437,-0.0147,-0.5612,0.5406,13,0.0696,rho_X,437,-1.1,-1.1,无翻转,0.00835,0.03665,是,是,β_XY(IVW)=0.0915; ρ_MY字面=样本重叠(元数据); 本估计量=遗传相关/方向一致性; S320/S293 exp==med 退化已排除
S255,"免疫细胞(immune cells, 多性状)","血清代谢物(serum metabolites, 多性状)","淋巴样白血病(ALL/CLL, lymphoid leukemia)",408,226,1,0.0044,0.186,0.0566,0.3093,225,0.2112,-0.0119,0.4143,78,0.1883,0.059,0.3114,225,0.186,rho_M,225,-0.0,-0.0,无翻转,-0.00422,0.01424,否,否,β_XY(IVW)=0.0621; ρ_MY字面=样本重叠(元数据); 本估计量=遗传相关/方向一致性; S320/S293 exp==med 退化已排除
S137,25-hydroxyvitamin D(25OHD),血清钙(serum calcium),migraine(偏头痛),105,220,2,0.019,0.218,0.0882,0.3404,220,-0.4813,-0.7281,-0.1239,27,0.235,0.1022,0.3595,208,0.218,rho_M,220,-14.3,-14.1,无翻转,-1e-05,0.00016,否,否,β_XY(IVW)=-0.0029; ρ_MY字面=样本重叠(元数据); 本估计量=遗传相关/方向一致性; S320/S293 exp==med 退化已排除
S217,类风湿关节炎(RA),免疫抑制剂使用(immunosuppressants use),支气管扩张症(bronchiectasis),9,10,1,0.1111,0.8101,0.3684,0.9534,10,0.7549,-0.1464,0.9714,6,0.6156,-0.0229,0.8974,10,0.8101,rho_M,10,-0.2,-0.2,无翻转,3.95519,10.16239,是,是,β_XY(IVW)=15.6316; ρ_MY字面=样本重叠(元数据); 本估计量=遗传相关/方向一致性; S320/S293 exp==med 退化已排除
S267,"vitamin D (25(OH)D, 维生素D)",HDL-C / LDL-C / triglycerides (血脂),ocular disorders (眼部疾病: WAMD等),88,53,3,0.0566,-0.0272,-0.3119,0.262,47,-0.102,-0.3061,0.111,87,-0.3296,-0.6995,0.1795,17,-0.102,rho_X,87,-1.6,-1.6,无翻转,-0.0029,0.00655,否,否,β_XY(IVW)=-0.0552; ρ_MY字面=样本重叠(元数据); 本估计量=遗传相关/方向一致性; S320/S293 exp==med 退化已排除
