study_id,exposure,mediator,outcome,exp_id,med_id,out_id,n_X,n_M,n_shared,pi_shared,F_X,alpha_hat,se_alpha,beta_hat,se_beta,indirect,se_naive,se_corrected,widen_pct,ci_naive_lo,ci_naive_hi,ci_corr_lo,ci_corr_hi,naive_sig,corr_sig,flip,N_X,N_M,N_Y,notes
S014,T1DM,hypertension,peripheral atherosclerosis(PAS)/coronary atherosclerosis(CAS),ebi-a-GCST90018925,ieu-b-5144,ukb-d-I9_CORATHER,18,209,1,0.0556,178.1,0.00378,0.00096,0.12832,0.00494,0.00049,0.00013,0.00011,-16.0,0.00024,0.00073,0.00028,0.00069,是,是,无翻转,457695,300000,361194,step1_used=17(drop1) step2_used=203(drop6); N_Y=361194
S273,"inflammatory factors / gut microbiota / blood cell traits (炎症因子/肠道菌群/血细胞, 3暴露)",immune traits (免疫性状),"IgAN (IgA nephropathy, IgA肾病)",ebi-a-GCST90029003,ebi-a-GCST90029016,ebi-a-GCST90018866,440,13,2,0.1538,89.5,0.00721,0.00081,3.12071,0.95001,0.02248,0.0073,0.00721,-1.1,0.00818,0.03679,0.00835,0.03662,是,是,无翻转,503190,419606,477784,step1_used=439(drop1) step2_used=13(drop0); N_Y=477784
S255,"免疫细胞(immune cells, 多性状)","血清代谢物(serum metabolites, 多性状)","淋巴样白血病(ALL/CLL, lymphoid leukemia)",ebi-a-GCST90002406,ebi-a-GCST90025992,finn-b-CD2_LYMPHOID_LEUKAEMIA_EXALLC,408,226,1,0.0044,151.9,0.02449,0.00721,0.20468,0.18269,0.00501,0.00471,0.00471,-0.0,-0.00422,0.01425,-0.00422,0.01424,否,否,无翻转,408112,400938,300000,step1_used=80(drop328) step2_used=225(drop1); N_Y=300000
S137,25-hydroxyvitamin D(25OHD),血清钙(serum calcium),migraine(偏头痛),ieu-b-4812,ebi-a-GCST90025990,ebi-a-GCST90038646,105,220,2,0.019,213.7,0.04031,0.01441,0.00178,0.00106,7e-05,5e-05,4e-05,-14.2,-3e-05,0.00017,-1e-05,0.00016,否,否,无翻转,300000,400792,484598,step1_used=27(drop78) step2_used=220(drop0); N_Y=484598
S217,类风湿关节炎(RA),免疫抑制剂使用(immunosuppressants use),支气管扩张症(bronchiectasis),ebi-a-GCST90038685,ebi-a-GCST90018991,ebi-a-GCST90018801,9,10,1,0.1111,209.3,40.09082,2.69133,0.17607,0.03778,7.05891,1.58715,1.58342,-0.2,3.9481,10.16971,3.9554,10.16241,是,是,无翻转,484598,272602,443151,step1_used=6(drop3) step2_used=10(drop0); N_Y=443151
S267,"vitamin D (25(OH)D, 维生素D)",HDL-C / LDL-C / triglycerides (血脂),ocular disorders (眼部疾病: WAMD等),ebi-a-GCST90025967,ebi-a-GCST90092943,finn-b-H7_OCUMUSCLE,88,53,3,0.0566,217.7,-0.01081,0.01407,-0.169,0.05426,0.00183,0.00245,0.00241,-1.6,-0.00297,0.00663,-0.0029,0.00655,否,否,无翻转,418691,115082,300000,step1_used=88(drop0) step2_used=47(drop6); N_Y=300000
